User-ID,0060392452,0060502258,0060928336,0060930535,0060934417,0060938455,0060976845,0060987103,006101351X,014028009X,0140293248,0142000205,0142001740,0312195516,0312278586,0312291639,0312305060,0316096199,0316284955,0316601950,0316666343,0316769487,0316776963,0345313860,0345337662,0345339681,0345342968,0345351525,0345353145,0345361792,0345370775,0345378490,0345417623,0345443284,0375700757,0375706771,0375707972,0375725784,0375726403,0375727345,0380731851,0380789035,0385265700,0385335482,0385484518,0385492081,0385504209,0385720106,0385722206,043935806X,044021145X,0440211727,0440213525,0440214041,0440220602,0440221471,044022165X,0440222656,0440224675,0440224764,0440225701,0440226430,0440234743,0440236673,044023722X,0440241073,0446310786,0446364193,044651652X,0446605239,0446606812,0446608955,0446610038,0449212602,0452282152,0452282829,0553279912,0553572997,059035342X,0671003755,0671021001,0671027360,0671510053,067976402X,0679781587,068484477X,0684872153,0743237188,0743418174,0786868716,0804106304,080410753X,0842329129,0971880107,1400034779
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
165,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,,-0.5,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
